PerovNonPerovFINALANN
exp_label,R_a1,R_b1,R_x1,E_a1,E_b1,E_x1,C_a1,C_b2,C_x2,Material
1,1.12,0.64,1.4,1.2,1.55,3.44,1.26,0.78,1.26,EuMnO3
1,1.12,0.6,1.4,1.2,1.91,3.44,1.26,0.74,1.26,EuNiO3
1,1.12,0.74,1.4,1.2,1.36,3.44,1.26,0.88,1.26,EuScO3
1,1.64,0.78,1.33,0.82,1.83,3.98,1.78,0.92,1.19,KFeF3
1,1.39,0.78,1.33,0.93,1.83,3.98,1.53,0.92,1.19,NaFeF3
1,1.7,0.78,1.33,1.62,1.83,3.98,1.84,0.92,1.19,TlFeF3
1,1.64,1.02,1.33,0.82,2,3.98,1.78,1.16,1.19,KHgF3
1,1.64,0.72,1.33,0.82,1.31,3.98,1.78,0.86,1.19,KMgF3
1,1.64,0.83,1.33,0.82,1.55,3.98,1.78,0.97,1.19,KMnF3
1,1.64,0.69,1.33,0.82,1.91,3.98,1.78,0.83,1.19,KNiF3
1,1.64,0.79,1.33,0.82,1.63,3.98,1.78,0.93,1.19,KVF3
1,1.64,0.74,1.33,0.82,1.65,3.98,1.78,0.88,1.19,KZnF3
0,0.92,0.72,1.33,0.98,1.31,3.98,1.06,0.86,1.19,LiMgF3
0,0.96,0.76,1.33,1.55,0.98,3.98,1.1,0.9,1.19,MnLiF3
0,1.49,0.76,1.33,2.33,0.98,3.98,1.63,0.9,1.19,PbLiF3
0,0.92,0.74,1.33,0.98,1.65,3.98,1.06,0.88,1.19,LiZnF3
1,1.39,0.72,1.33,0.93,1.31,3.98,1.53,0.86,1.19,NaMgF3
1,1.39,0.83,1.33,0.93,1.55,3.98,1.53,0.97,1.19,NaMnF3
1,1.72,0.83,1.33,0.82,1.55,3.98,1.86,0.97,1.19,RbMnF3
1,1.7,0.83,1.33,1.62,1.55,3.98,1.84,0.97,1.19,TlMnF3
1,1.39,0.69,1.33,0.93,1.91,3.98,1.53,0.83,1.19,NaNiF3
0,1.49,1.02,1.33,2.33,0.93,3.98,1.63,1.16,1.19,PbNaF3
1,1.39,0.74,1.33,0.93,1.65,3.98,1.53,0.88,1.19,NaZnF3
1,1.72,1.19,1.33,0.82,2.33,3.98,1.86,1.33,1.19,RbPbF3
0,1.72,1.18,1.33,0.82,0.95,3.98,1.86,1.32,1.19,RbSrF3
1,1.72,0.79,1.33,0.82,1.63,3.98,1.86,0.93,1.19,RbVF3
1,1.72,0.74,1.33,0.82,1.65,3.98,1.86,0.88,1.19,RbZnF3
0,0.78,0.62,1.4,1.83,1.81,3.44,0.92,0.76,1.26,FeGaO3
1,1.11,0.64,1.4,1.2,1.83,3.44,1.25,0.78,1.26,GdFeO3
1,1.12,0.64,1.4,1.24,1.83,3.44,1.26,0.78,1.26,HoFeO3
0,1.7,0.78,2.2,1.62,1.83,2.66,1.84,0.92,2.06,TlFeI3
0,0.92,0.64,1.4,1.78,1.83,3.44,1.06,0.78,1.26,InFeO3
1,1.36,0.64,1.4,1.1,1.83,3.44,1.5,0.78,1.26,LaFeO3
